from,to,relationship,artdererwaehnung,verlinkunghashtag,datum,likespropost,weight
L,E,1,3,ja,05september2017,8908,1
L,A,5,5,nein,16september2017,218,1
L,R,2,4,ja,29september2017,7900,1
L,P,2,2,ja,27oktober2017,231,1
L,P,4,4,ja,09november2017,8320,1
L,R,1,8,nein,14november2017,11702,1
L,P,1,8,nein,14november2017,11702,1
L,A,1,8,nein,14november2017,11702,1
L,E,1,8,nein,14november2017,11702,1
L,RL,1,8,nein,14november2017,11702,1
L,E,2,7,ja,06dezember2017,3641,1
L,E,3,2,ja,06dezember2017,315,1
L,A,1,4,ja,06februar2018,4170,1
L,N,1,8,nein,08februar2018,479,1
L,A,1,2,nein,14februar2018,231,1
L,A,2,4,ja,12maerz2018,12788,1
L,P,1,1,ja,23maerz2018,2001,1
L,A,2,3,ja,27maerz2018,12221,1
L,N,1,2,ja,10november2017,8,1
K,L,4,5,nein,28februar2018,748,1
A,L,1,1,ja,22mai2018,636,1
A,E,1,1,ja,22mai2018,636,1
A,N,1,1,ja,22mai2018,636,1
A,L,1,1,ja,07mai2018,2470,1
A,P,1,1,ja,05maerz2018,3121,1
A,N,1,1,ja,05maerz2018,3121,1
A,L,1,1,ja,05maerz2018,3121,1
A,L,1,1,ja,15februar2018,922,1
A,L,1,1,ja,06februar2018,2231,1
A,P,3,1,ja,01dezember2017,1295,1
A,L,3,1,ja,01dezember2017,1295,1
A,R,3,1,ja,01dezember2017,1295,1
A,E,3,1,ja,01dezember2017,1295,1
A,N,3,1,ja,01dezember2017,1295,1
A,K,1,6,ja,30oktober2017,646,1
A,L,1,2,ja,27oktober2017,1632,1
A,L,1,2,ja,27oktober2017,163,1
A,P,1,2,ja,27oktober2017,257,1
A,N,1,2,ja,28februar2018,23,1
A,N,3,2,ja,07dezember2017,28,1
A,N,1,2,nein,05maerz2018,160,1
A,L,1,2,ja,05maerz2018,160,1
P,L,1,1,ja,14april2018,907,1
P,A,3,7,ja,11november2017,670,1
P,A,1,2,ja,23maerz2018,2001,1
P,N,1,2,ja,23maerz2018,2001,1
P,L,1,2,ja,23maerz2018,2001,1
P,E,1,2,ja,23maerz2018,2001,1
P,K,1,2,ja,23maerz2018,2001,1
P,RL,1,2,ja,23maerz2018,2001,1
P,N,1,2,nein,10november2017,152,1
R,P,5,2,nein,26november2018,0,1
E,L,2,1,ja,08dezember2017,3325,1
N,A,1,8,nein,28februar2018,358,1
N,A,1,2,nein,05maerz2018,731,1
N,A,1,4,ja,07dezember2017,1530,1
N,A,3,2,ja,07dezember2017,12,1
N,L,1,4,ja,01dezember2017,400,1
N,K,1,4,ja,01dezember2017,400,1
N,P,1,1,ja,14november2017,1144,1
N,L,1,1,ja,10november2017,1664,1
N,L,1,1,ja,03september2017,2211,1
N,K,1,1,ja,03september2017,2211,1
